outward,easting,northing,lat,lon
PA9,239999,660489,55.811087,-4.554778
PE1,523079,295140,52.540235,-0.186619
PE10,508331,322044,52.785132,-0.395150
PE11,521186,328133,52.837121,-0.202388
PE12,535834,321703,52.775856,0.012258
PE13,542745,310331,52.671916,0.109702
PE14,548011,307330,52.643548,0.186182
PE15,540624,296485,52.548078,0.072469
PE16,539504,285888,52.453159,0.051540
PE17,530788,280128,52.403557,-0.078902
PE18,521244,270636,52.320457,-0.222549
PE19,518260,261293,52.237153,-0.269570
PE2,518159,298717,52.573470,-0.257863
PE20,528151,338521,52.928835,-0.094970
PE21,527841,343361,52.972397,-0.097668
PE22,536406,353799,53.064058,0.034189
PE23,539782,364966,53.163504,0.089394
PE24,550144,368035,53.188247,0.245706
PE25,555374,364282,53.153043,0.322084
PE26,530414,285714,52.453843,-0.082221
PE27,529362,272295,52.333516,-0.102869
PE28,524114,278611,52.391478,-0.177506
PE29,524479,272203,52.333819,-0.174529
PE3,516292,297590,52.563743,-0.285793
PE30,562881,320307,52.755851,0.412165
PE31,573973,335515,52.888972,0.584446
PE32,568071,314763,52.704473,0.486166
PE33,567438,307190,52.636653,0.472965
PE34,558223,317649,52.733359,0.341925
PE35,568712,327554,52.819149,0.502212
PE36,570519,341893,52.947353,0.536504
PE37,575301,311036,52.668708,0.591071
PE38,561463,300972,52.582605,0.381715
PE39,563064,320320,52.755907,0.414878
PE4,509332,315642,52.727408,-0.382457
PE5,511661,298694,52.574635,-0.353708
PE6,513685,309129,52.667987,-0.320269
PE7,520504,293071,52.522226,-0.225322
PE8,505192,292968,52.524462,-0.450945
PE9,502742,305761,52.639901,-0.483082
PH1,317881,715263,56.322612,-3.329361
PH10,313776,748996,56.624845,-3.406874
PH11,323845,750604,56.641027,-3.243305
PH12,326970,737373,56.522690,-3.188626
PH13,333363,698790,56.177069,-3.074946
PH14,328314,727174,56.431294,-3.163976
PH15,276830,747293,56.601286,-4.007855
PH16,290132,759845,56.717302,-3.796677
PH17,242304,757816,56.685380,-4.576097
PH18,284194,765587,56.767428,-3.896227
PH19,263630,784919,56.935393,-4.242754
PH2,318888,716480,56.333715,-3.313455
PH20,264030,794733,57.023607,-4.241469
PH21,277698,801628,57.089329,-4.019847
PH22,291755,807616,57.146615,-3.790612
PH23,290703,822735,57.282111,-3.814638
PH24,294290,819164,57.250889,-3.753652
PH25,301613,820240,57.262186,-3.632762
PH26,304812,828789,57.339633,-3.583043
PH2O,327632,741728,56.561905,-3.179090
PH3,281804,717618,56.336119,-3.913439
PH30,235624,766408,56.760179,-4.690523
PH31,231903,781164,56.891265,-4.761045
PH32,237938,809217,57.145137,-4.680160
PH33,207257,771820,56.797862,-5.157893
PH34,224882,788898,56.958055,-4.881476
PH35,224811,801982,57.075416,-4.891745
PH36,185305,737263,56.478388,-5.487887
PH37,189896,780968,56.872376,-5.449178
PH38,173400,778550,56.842940,-5.717078
PH39,165832,785592,56.902306,-5.847342
PH4,289650,708891,56.259653,-3.782941
PH40,178604,800572,57.042877,-5.651221
PH41,171270,798146,57.017553,-5.769619
PH42,145621,783540,56.873278,-6.176247
PH43,140192,799560,57.013780,-6.281512
PH44,126362,805604,57.059923,-6.515121
PH49,208501,758316,56.677244,-5.127459
PH5,292329,709734,56.267835,-3.740054
PH50,218838,762029,56.714673,-4.961614
PH6,275960,722235,56.376081,-4.010078
PH7,301346,682058,56.021239,-3.584274
PH8,301432,741293,56.553228,-3.605047
PH9,298741,751510,56.644408,-3.652799
PL1,248585,68166,50.493671,-4.136099
PL10,242945,51769,50.344834,-4.208694
PL11,273527,83671,50.638959,-3.789922
PL12,241163,59216,50.411281,-4.236864
PL13,226046,53745,50.357835,-4.446903
PL14,238038,76056,50.561747,-4.288111
PL15,230373,86085,50.649687,-4.400821
PL16,239577,84611,50.639046,-4.270093
PL17,251304,98135,50.763699,-4.109813
PL18,243692,71637,50.523577,-4.206487
PL19,247714,76001,50.563857,-4.151570
PL2,268504,86047,50.659203,-3.861758
PL20,264903,79204,50.596875,-3.910191
PL21,262856,56635,50.393547,-3.930805
PL22,211833,58808,50.398951,-4.649037
PL23,224974,70345,50.506670,-4.469707
PL24,208412,54021,50.354838,-4.694679
PL25,201916,52685,50.340684,-4.785183
PL26,202164,54453,50.356650,-4.782627
PL27,200332,77136,50.559785,-4.820439
PL28,190549,74337,50.531220,-4.956799
PL29,200624,79738,50.583254,-4.817728
PL3,248822,56557,50.389405,-4.128080
PL30,207289,70021,50.498202,-4.718667
PL31,206400,64730,50.450379,-4.728450
PL32,211144,85909,50.642185,-4.672428
PL33,207093,84416,50.627443,-4.728886
PL34,205956,88648,50.665080,-4.747163
PL35,210736,90774,50.685754,-4.680693
PL4,250907,55726,50.382465,-4.098442
PL5,252184,85736,50.652497,-4.092383
PL6,249460,59880,50.419432,-4.120448
PL7,253959,56313,50.388505,-4.055769
PL8,256703,50574,50.337607,-4.015012
PL88,452536,210792,51.793327,-1.239638
PL9,254331,57573,50.399927,-4.051032
PO1,463360,105786,50.848132,-1.101351
PO10,474184,108075,50.867424,-0.947162
PO11,465729,139925,51.154819,-1.061534
PO12,457530,100637,50.802434,-1.184953
PO13,457919,101571,50.810798,-1.179295
PO14,453931,111325,50.898891,-1.234453
PO15,454828,107894,50.867957,-1.222221
PO16,457736,128694,51.054699,-1.177597
PO17,459282,141650,51.171031,-1.153413
PO18,482618,111490,50.896986,-0.826561
PO19,486061,104865,50.836923,-0.779161
PO2,462055,113476,50.917412,-1.118576
PO20,484248,98012,50.775578,-0.806474
PO21,490702,103439,50.823392,-0.713627
PO22,496010,100896,50.799673,-0.638958
PO29,486712,102376,50.814442,-0.770520
PO3,466376,102213,50.815667,-1.059152
PO30,450234,91429,50.720318,-1.289734
PO31,449322,94872,50.751350,-1.302194
PO32,450831,95109,50.753358,-1.280777
PO33,459622,93345,50.736662,-1.156456
PO34,462652,91394,50.718794,-1.113849
PO35,464241,88018,50.688266,-1.091929
PO36,452469,85945,50.670808,-1.258866
PO37,458833,81909,50.633904,-1.169460
PO38,454498,78722,50.605676,-1.231214
PO39,435330,103648,50.831285,-1.499692
PO4,465005,102640,50.819657,-1.078547
